file,type,nsrc,X,Y,Vx,Vy,Cov,json,is_doppel,doppel_src,doppel_how,doppel_crot
Stim151.png,Ellipse,3,0.205876760681613,-0.155462202087917,0.00803406303091224,0.00533713914938564,0.0006487398223815,"{'n_interp':200,'bands':[0.5,0.95],'line_sz':1,'w_px':540,'h_px':540,'Mu':[[0.09267163977726442,0.33138235711174235,0.11950055850610521],[-0.2263401907745449,-0.051350047000643773,-0.27898588383106582]],'Sigma':[[[0.035845386921046843,0.025063149335478534,0.020888287493403532],[0.0018852410828613443,-0.0022032763071457542,0.0115136440225389]],[[0.0018852410828613443,-0.0022032763071457542,0.0115136440225389],[0.011372050368392596,0.014462707620030242,0.039205044229997349]]],'f':[],'ax':[],'colors':[[0.49019607843137253,0.19607843137254902,0.23137254901960785],[0.12156862745098039,0.47450980392156861,0.53725490196078429],[0.85882352941176465,0.63921568627450975,0.22745098039215686]],'color_idx':1,'canvas_clr':[0.75294117647058822,0.75294117647058822,0.75294117647058822],'color_angle':[],'color_lightness':0.5,'saturation':1,'cent_marker_sz':8}",0,none,0,none
Stim152.png,Ellipse,3,-0.081287060781883,-0.146034495980387,0.0081570919720745,0.00462459397724764,0.000329527759806559,"{'n_interp':200,'bands':[0.5,0.95],'line_sz':1,'w_px':540,'h_px':540,'Mu':[[-0.20014788447235249,0.27331713203415309,-0.07999102292326718],[-0.20604491130195735,-0.013388585739076291,-0.17917382857329284]],'Sigma':[[[0.018286269441277168,0.056609815032523311,0.020782502746278003],[0.0027753519968739732,0.0016630684372362951,-0.0015479277343874527]],[[0.0027753519968739732,0.0016630684372362951,-0.0015479277343874527],[0.011963437823012832,0.019606558122236786,0.012759082967773486]]],'f':[],'ax':[],'colors':[[0.49019607843137253,0.19607843137254902,0.23137254901960785],[0.12156862745098039,0.47450980392156861,0.53725490196078429],[0.85882352941176465,0.63921568627450975,0.22745098039215686]],'color_idx':1,'canvas_clr':[0.75294117647058822,0.75294117647058822,0.75294117647058822],'color_angle':[],'color_lightness':0.5,'saturation':1,'cent_marker_sz':8}",0,none,0,none
Stim153.png,Ellipse,3,0.172821691213823,-0.0487076833360066,0.00619417246703453,0.00372629924043352,0.0018741322948314,"{'n_interp':200,'bands':[0.5,0.95],'line_sz':1,'w_px':540,'h_px':540,'Mu':[[0.082108845816281861,0.33964111200704072,0.16318177202013431],[-0.074886139836817578,-0.12166942512923379,0.047329910483312282]],'Sigma':[[[0.016092391056269376,0.029037819624636779,0.0164111751626047],[0.00398678518123904,0.018114537248694065,0.0073479124949826172]],[[0.00398678518123904,0.018114537248694065,0.0073479124949826172],[0.0050116656456842571,0.058272195768972315,0.024689494910251214]]],'f':[],'ax':[],'colors':[[0.49019607843137253,0.19607843137254902,0.23137254901960785],[0.12156862745098039,0.47450980392156861,0.53725490196078429],[0.85882352941176465,0.63921568627450975,0.22745098039215686]],'color_idx':1,'canvas_clr':[0.75294117647058822,0.75294117647058822,0.75294117647058822],'color_angle':[],'color_lightness':0.5,'saturation':1,'cent_marker_sz':8}",0,none,0,none
Stim154.png,Ellipse,3,-0.192471883552507,0.13161145008189,0.00253805072255963,0.00256865635270419,0.000224655234849275,"{'n_interp':200,'bands':[0.5,0.95],'line_sz':1,'w_px':540,'h_px':540,'Mu':[[-0.2689965552221254,-0.14568142818351981,-0.062086200250522583],[0.12257974984743294,0.10257149474489823,0.23096795852995225]],'Sigma':[[[0.0055180211892800366,0.00997186563912609,0.010975914525133877],[-0.00035001032496259041,-0.00076578868582012573,0.0047311551823939662]],[[-0.00035001032496259041,-0.00076578868582012573,0.0047311551823939662],[0.00800123791478128,0.0070713349889006075,0.010076937480810923]]],'f':[],'ax':[],'colors':[[0.49019607843137253,0.19607843137254902,0.23137254901960785],[0.12156862745098039,0.47450980392156861,0.53725490196078429],[0.85882352941176465,0.63921568627450975,0.22745098039215686]],'color_idx':1,'canvas_clr':[0.75294117647058822,0.75294117647058822,0.75294117647058822],'color_angle':[],'color_lightness':0.5,'saturation':1,'cent_marker_sz':8}",0,none,0,none
Stim155.png,Ellipse,3,0.0924698697995621,0.00082000061991336,0.0027109558575324,0.00469358895011161,0.00124290535780532,"{'n_interp':200,'bands':[0.5,0.95],'line_sz':1,'w_px':540,'h_px':540,'Mu':[[0.072468246260510391,0.089441390195335341,0.0946180360934993],[0.10131665820850927,-0.13569987341614592,-0.050772824094112282]],'Sigma':[[[0.00905056608714444,0.0045653598083678368,0.028052960928015049],[0.0028598440417841723,0.0026164823955320293,0.01574921531581024]],[[0.0028598440417841723,0.0026164823955320293,0.01574921531581024],[0.010527605500777776,0.023179174678810248,0.019656786778187597]]],'f':[],'ax':[],'colors':[[0.49019607843137253,0.19607843137254902,0.23137254901960785],[0.12156862745098039,0.47450980392156861,0.53725490196078429],[0.85882352941176465,0.63921568627450975,0.22745098039215686]],'color_idx':1,'canvas_clr':[0.75294117647058822,0.75294117647058822,0.75294117647058822],'color_angle':[],'color_lightness':0.5,'saturation':1,'cent_marker_sz':8}",0,none,0,none
Stim156.png,Ellipse,3,0.0246337609451362,-0.155866370797478,0.00328767410783974,0.00342735743029547,-0.00097284235256599,"{'n_interp':200,'bands':[0.5,0.95],'line_sz':1,'w_px':540,'h_px':540,'Mu':[[0.088875359670158888,0.0563986792090478,-0.015379415589321908],[-0.22330324359346021,-0.22627060405945287,-0.047999645940074567]],'Sigma':[[[0.02915345210721659,0.0053114770629594252,0.016763936124166913],[-0.00716682841586865,-0.0028886696020634338,0.00080801662758199792]],[[-0.00716682841586865,-0.0028886696020634338,0.00080801662758199792],[0.018501319335459267,0.00800354834853096,0.0097171850274179912]]],'f':[],'ax':[],'colors':[[0.49019607843137253,0.19607843137254902,0.23137254901960785],[0.12156862745098039,0.47450980392156861,0.53725490196078429],[0.85882352941176465,0.63921568627450975,0.22745098039215686]],'color_idx':1,'canvas_clr':[0.75294117647058822,0.75294117647058822,0.75294117647058822],'color_angle':[],'color_lightness':0.5,'saturation':1,'cent_marker_sz':8}",0,none,0,none
Stim157.png,Ellipse,3,-0.0427812635392896,-0.104102725873916,0.00182717619593526,0.00228378251209586,3.83272924120603e-05,"{'n_interp':200,'bands':[0.5,0.95],'line_sz':1,'w_px':540,'h_px':540,'Mu':[[0.036265705173626622,-0.039437910234079811,-0.072231425023144724],[-0.16020787115215851,-0.12739547976833152,0.37108687580603528]],'Sigma':[[[0.014415013307920329,0.0029773843484708381,0.032132057681191123],[-0.0036070457006197754,0.0031526756460214596,0.011104970177846233]],[[-0.0036070457006197754,0.0031526756460214596,0.011104970177846233],[0.0039198129259123849,0.016240696602028769,0.038214845271745776]]],'f':[],'ax':[],'colors':[[0.49019607843137253,0.19607843137254902,0.23137254901960785],[0.12156862745098039,0.47450980392156861,0.53725490196078429],[0.85882352941176465,0.63921568627450975,0.22745098039215686]],'color_idx':1,'canvas_clr':[0.75294117647058822,0.75294117647058822,0.75294117647058822],'color_angle':[],'color_lightness':0.5,'saturation':1,'cent_marker_sz':8}",0,none,0,none
Stim158.png,Ellipse,3,0.175742823402486,-0.0621424060391431,0.00650197039417453,0.00875353892587227,-0.00179150229885819,"{'n_interp':200,'bands':[0.5,0.95],'line_sz':1,'w_px':540,'h_px':540,'Mu':[[0.36247847909740721,-0.029932607738569587,0.041728524421505014],[-0.074522722101887012,0.20777278460736709,-0.35400758776807656]],'Sigma':[[[0.014860956800214075,0.021398016625702645,0.025925211571924827],[-0.0048346345654839981,-0.0074298047933064717,-0.0027330102736389276]],[[-0.0048346345654839981,-0.0074298047933064717,-0.0027330102736389276],[0.019204302544521958,0.032348295448663744,0.032800782592508279]]],'f':[],'ax':[],'colors':[[0.49019607843137253,0.19607843137254902,0.23137254901960785],[0.12156862745098039,0.47450980392156861,0.53725490196078429],[0.85882352941176465,0.63921568627450975,0.22745098039215686]],'color_idx':1,'canvas_clr':[0.75294117647058822,0.75294117647058822,0.75294117647058822],'color_angle':[],'color_lightness':0.5,'saturation':1,'cent_marker_sz':8}",0,none,0,none
Stim159.png,Ellipse,3,-0.0200590712419401,-0.17626754355148,0.00150636745196328,0.00472656136910566,0.000631703124665908,"{'n_interp':200,'bands':[0.5,0.95],'line_sz':1,'w_px':540,'h_px':540,'Mu':[[-0.0462757802320193,-0.24020983363331122,-0.0054524251279963118],[-0.16938517565751393,-0.11439509240152174,-0.22482350333734485]],'Sigma':[[[0.015866820485828794,0.01743520680770777,0.0036183788111740357],[-0.0091075084366602378,0.00023468510355364864,0.0076002348988215389]],[[-0.0091075084366602378,0.00023468510355364864,0.0076002348988215389],[0.01898949320534192,0.011441898027690429,0.0315779393702108]]],'f':[],'ax':[],'colors':[[0.49019607843137253,0.19607843137254902,0.23137254901960785],[0.12156862745098039,0.47450980392156861,0.53725490196078429],[0.85882352941176465,0.63921568627450975,0.22745098039215686]],'color_idx':1,'canvas_clr':[0.75294117647058822,0.75294117647058822,0.75294117647058822],'color_angle':[],'color_lightness':0.5,'saturation':1,'cent_marker_sz':8}",0,none,0,none
Stim160.png,Ellipse,3,0.0116446440112876,0.226889758406414,0.00466154617356132,0.0038981515960362,-0.00164787576796334,"{'n_interp':200,'bands':[0.5,0.95],'line_sz':1,'w_px':540,'h_px':540,'Mu':[[0.15883390046672288,-0.006987178642754735,-0.02022484484688053],[0.31137313433575431,0.25802319906869231,0.10071871876422685]],'Sigma':[[[0.053515416421132854,0.00960947167096549,0.014479474254782913],[0.0068681822286968562,-0.0052484241556789791,-0.00099926450471943653]],[[0.0068681822286968562,-0.0052484241556789791,-0.00099926450471943653],[0.022435165178577479,0.0078914022528506472,0.017863699558496589]]],'f':[],'ax':[],'colors':[[0.49019607843137253,0.19607843137254902,0.23137254901960785],[0.12156862745098039,0.47450980392156861,0.53725490196078429],[0.85882352941176465,0.63921568627450975,0.22745098039215686]],'color_idx':1,'canvas_clr':[0.75294117647058822,0.75294117647058822,0.75294117647058822],'color_angle':[],'color_lightness':0.5,'saturation':1,'cent_marker_sz':8}",0,none,0,none
